"","Institution","Year","Month","use_of_force","inmate_count","uof_per_1000"
"336","SVSP",2012,"Jun",49,3560,13.7640449438202
"337","CCI",2012,"Jul",27,4685,5.76307363927428
"338","COR",2012,"Jul",28,4743,5.90343664347459
"339","HDSP",2012,"Jul",28,3729,7.50871547331724
"340","KVSP",2012,"Jul",53,4149,12.7741624487828
"341","LAC",2012,"Jul",39,3955,9.86093552465234
"342","PBSP",2012,"Jul",19,3153,6.02600697748176
"343","SAC",2012,"Jul",33,2684,12.2950819672131
"344","SVSP",2012,"Jul",40,3547,11.2771356075557
"345","CCI",2012,"Aug",15,4764,3.14861460957179
"346","COR",2012,"Aug",33,4706,7.0123246918827
"347","HDSP",2012,"Aug",18,3684,4.88599348534202
"348","KVSP",2012,"Aug",48,4082,11.7589416952474
"349","LAC",2012,"Aug",28,3919,7.14467976524624
"350","PBSP",2012,"Aug",19,3139,6.05288308378464
"351","SAC",2012,"Aug",34,2654,12.810851544838
"352","SVSP",2012,"Aug",37,3572,10.3583426651736
"353","CCI",2012,"Sep",25,4768,5.24328859060403
"354","COR",2012,"Sep",27,4729,5.70945231550011
"355","HDSP",2012,"Sep",12,3614,3.32042058660764
"356","KVSP",2012,"Sep",34,3977,8.54915765652502
"357","LAC",2012,"Sep",47,3891,12.0791570290414
"358","PBSP",2012,"Sep",18,3101,5.80457916801032
"359","SAC",2012,"Sep",36,2654,13.5644310474755
"360","SVSP",2012,"Sep",29,3509,8.26446280991736
"361","CCI",2012,"Oct",15,4676,3.20786997433704
"362","COR",2012,"Oct",28,4703,5.95364660854774
"363","HDSP",2012,"Oct",34,3531,9.62900028320589
"364","KVSP",2012,"Oct",24,3975,6.0377358490566
"365","LAC",2012,"Oct",30,3836,7.82064650677789
"366","PBSP",2012,"Oct",17,3071,5.53565613806578
"367","SAC",2012,"Oct",36,2572,13.9968895800933
"368","SVSP",2012,"Oct",33,3559,9.27226749086822
"369","CCI",2012,"Nov",14,4529,3.09119010819165
"370","COR",2012,"Nov",25,4652,5.37403267411866
"371","HDSP",2012,"Nov",21,3512,5.97949886104784
"372","KVSP",2012,"Nov",30,3967,7.56238971514999
"373","LAC",2012,"Nov",37,3799,9.739405106607
"374","PBSP",2012,"Nov",13,3032,4.28759894459103
"375","SAC",2012,"Nov",29,2532,11.4533965244866
"376","SVSP",2012,"Nov",42,3621,11.5990057995029
"377","CCI",2012,"Dec",13,4508,2.88376220053239
"378","COR",2012,"Dec",11,4611,2.38559965300369
"379","HDSP",2012,"Dec",17,3440,4.94186046511628
"380","KVSP",2012,"Dec",36,3870,9.30232558139535
"381","LAC",2012,"Dec",46,3750,12.2666666666667
"382","PBSP",2012,"Dec",20,2980,6.71140939597315
"383","SAC",2012,"Dec",20,2557,7.82166601486117
"384","SVSP",2012,"Dec",31,3637,8.52350838603244
"385","CCI",2013,"Jan",18,4464,4.03225806451613
"386","COR",2013,"Jan",22,4581,4.80244488103034
"387","HDSP",2013,"Jan",22,3478,6.32547441058079
"388","KVSP",2013,"Jan",46,3792,12.1308016877637
"389","LAC",2013,"Jan",39,3718,10.4895104895105
"390","PBSP",2013,"Jan",25,2909,8.5940185630801
"391","SAC",2013,"Jan",34,2473,13.7484836231298
"392","SVSP",2013,"Jan",37,3592,10.3006681514477
"393","CCI",2013,"Feb",10,4555,2.1953896816685
"394","COR",2013,"Feb",22,4496,4.8932384341637
"395","HDSP",2013,"Feb",17,3469,4.90054770827328
"396","KVSP",2013,"Feb",28,3775,7.41721854304636
"397","LAC",2013,"Feb",30,3804,7.88643533123028
"398","PBSP",2013,"Feb",10,2865,3.49040139616056
"399","SAC",2013,"Feb",33,2391,13.801756587202
"400","SVSP",2013,"Feb",39,3577,10.9029913335197
"401","CCI",2013,"Mar",14,4635,3.02049622437972
"402","COR",2013,"Mar",24,4498,5.33570475767007
"403","HDSP",2013,"Mar",18,3453,5.2128583840139
"404","KVSP",2013,"Mar",37,3723,9.9382218640881
"405","LAC",2013,"Mar",46,3763,12.2242891310125
"406","PBSP",2013,"Mar",27,2858,9.44716585024493
"407","SAC",2013,"Mar",32,2324,13.7693631669535
"408","SVSP",2013,"Mar",54,3575,15.1048951048951
"409","CCI",2013,"Apr",15,4590,3.26797385620915
"410","COR",2013,"Apr",25,4421,5.65482922415743
