Institution,Year,Month,Use of Force,Inmate Count
PBSP,2015,Aug,5,2734
SAC,2015,Aug,46,2264
SATF,2015,Aug,20,5465
SVSP,2015,Aug,41,3681
CCI,2015,Sep,13,3847
COR,2015,Sep,27,4408
HDSP,2015,Sep,22,3352
KVSP,2015,Sep,31,3747
LAC,2015,Sep,37,3514
PBSP,2015,Sep,6,2731
SAC,2015,Sep,48,2224
SATF,2015,Sep,10,5540
SVSP,2015,Sep,34,3704
CCI,2015,Oct,19,3782
COR,2015,Oct,39,4403
HDSP,2015,Oct,17,3430
KVSP,2015,Oct,33,3807
LAC,2015,Oct,34,3563
PBSP,2015,Oct,7,2593
SAC,2015,Oct,62,2193
SATF,2015,Oct,16,5499
SVSP,2015,Oct,41,3765
CCI,2015,Nov,7,3741
COR,2015,Nov,34,4300
HDSP,2015,Nov,23,3482
KVSP,2015,Nov,24,3944
LAC,2015,Nov,43,3569
PBSP,2015,Nov,8,2515
SAC,2015,Nov,33,2245
SATF,2015,Nov,10,5557
SVSP,2015,Nov,40,3693
CCI,2015,Dec,10,3664
COR,2015,Dec,23,4191
HDSP,2015,Dec,22,3574
KVSP,2015,Dec,23,3889
LAC,2015,Dec,45,3559
PBSP,2015,Dec,9,2424
SAC,2015,Dec,48,2264
SATF,2015,Dec,17,5482
SVSP,2015,Dec,37,3662
CCI,2016,Jan,17,3564
COR,2016,Jan,15,4122
HDSP,2016,Jan,22,3553
KVSP,2016,Jan,28,3935
LAC,2016,Jan,25,3553
PBSP,2016,Jan,3,2284
SAC,2016,Jan,52,2280
SATF,2016,Jan,14,5369
SVSP,2016,Jan,40,3663
CCI,2016,Feb,9,3421
COR,2016,Feb,30,4131
HDSP,2016,Feb,22,3623
KVSP,2016,Feb,25,3927
LAC,2016,Feb,28,3520
PBSP,2016,Feb,21,2266
SAC,2016,Feb,48,2313
SATF,2016,Feb,11,5285
SVSP,2016,Feb,48,3642
CCI,2016,Mar,14,3276
COR,2016,Mar,33,4073
HDSP,2016,Mar,23,3646
KVSP,2016,Mar,36,3941
LAC,2016,Mar,30,3539
PBSP,2016,Mar,7,2211
SAC,2016,Mar,51,2405
SATF,2016,Mar,21,5097
SVSP,2016,Mar,42,3681
CCI,2016,Apr,20,3202
COR,2016,Apr,35,3870
HDSP,2016,Apr,29,3664
KVSP,2016,Apr,31,4017
LAC,2016,Apr,41,3549
PBSP,2016,Apr,13,2165
SAC,2016,Apr,41,2404
SATF,2016,Apr,12,5060
SVSP,2016,Apr,38,3593
CCI,2016,May,24,3108
COR,2016,May,33,3747
HDSP,2016,May,24,3696
KVSP,2016,May,34,4018
LAC,2016,May,29,3523
PBSP,2016,May,7,2170
SAC,2016,May,46,2387
SATF,2016,May,21,5268
SVSP,2016,May,43,3740
CCI,2016,Jun,15,3150
COR,2016,Jun,32,3607
HDSP,2016,Jun,14,3701
KVSP,2016,Jun,42,3960
LAC,2016,Jun,36,3529
PBSP,2016,Jun,20,2274
SAC,2016,Jun,65,2387
SATF,2016,Jun,11,5275
SVSP,2016,Jun,42,3711
CCI,2016,Jul,28,3300
COR,2016,Jul,26,3379
HDSP,2016,Jul,22,3746
KVSP,2016,Jul,42,3907
LAC,2016,Jul,39,3500
PBSP,2016,Jul,11,2343
SAC,2016,Jul,42,2349
SATF,2016,Jul,10,5325
SVSP,2016,Jul,49,3759
CCI,2016,Aug,21,3430
COR,2016,Aug,41,3275
HDSP,2016,Aug,20,3814
KVSP,2016,Aug,42,3890
LAC,2016,Aug,27,3444
PBSP,2016,Aug,9,2349
SAC,2016,Aug,46,2311
SATF,2016,Aug,26,5334
SVSP,2016,Aug,45,3751
CCI,2016,Sep,20,3589
COR,2016,Sep,27,3242
HDSP,2016,Sep,18,3759
KVSP,2016,Sep,41,3902
LAC,2016,Sep,27,3417
PBSP,2016,Sep,9,2254
SAC,2016,Sep,42,2291
SATF,2016,Sep,10,5243
SVSP,2016,Sep,53,3742
CCI,2016,Oct,22,3629
COR,2016,Oct,36,3311
HDSP,2016,Oct,16,3742
KVSP,2016,Oct,40,3834
LAC,2016,Oct,34,3237
PBSP,2016,Oct,12,2244
SAC,2016,Oct,33,2315
SATF,2016,Oct,17,5348
SVSP,2016,Oct,48,3747
CCI,2016,Nov,20,3653
COR,2016,Nov,25,3346
HDSP,2016,Nov,14,3735
KVSP,2016,Nov,52,3752
LAC,2016,Nov,37,3311
PBSP,2016,Nov,11,2209
SAC,2016,Nov,35,2267
SATF,2016,Nov,10,5315
SVSP,2016,Nov,45,3634
CCI,2016,Dec,26,3698
COR,2016,Dec,35,3383
